Type,Code,Title
NAICS,	11,"Agriculture, Forestry, Fishing and Hunting"
NAICS,	111,Crop Production
NAICS,	1111,Oilseed and Grain Farming
NAICS,	11111,Soybean Farming
NAICS,	111110,Soybean Farming
NAICS,	11112,Oilseed (except Soybean) Farming
NAICS,	111120,Oilseed (except Soybean) Farming
NAICS,	11113,Dry Pea and Bean Farming
NAICS,	111130,Dry Pea and Bean Farming
NAICS,	11114,Wheat Farming
NAICS,	111140,Wheat Farming
NAICS,	11115,Corn Farming
NAICS,	111150,Corn Farming
NAICS,	11116,Rice Farming
NAICS,	111160,Rice Farming
NAICS,	11119,Other Grain Farming
NAICS,	111191,Oilseed and Grain Combination Farming
NAICS,	111199,All Other Grain Farming
NAICS,	1112,Vegetable and Melon Farming
NAICS,	11121,Vegetable and Melon Farming
NAICS,	111211,Potato Farming
NAICS,	111219,Other Vegetable (except Potato) and Melon Farming
NAICS,	1113,Fruit and Tree Nut Farming
NAICS,	11131,Orange Groves
NAICS,	111310,Orange Groves
NAICS,	11132,Citrus (except Orange) Groves
NAICS,	111320,Citrus (except Orange) Groves
NAICS,	11133,Noncitrus Fruit and Tree Nut Farming
NAICS,	111331,Apple Orchards
NAICS,	111332,Grape Vineyards
NAICS,	111333,Strawberry Farming
NAICS,	111334,Berry (except Strawberry) Farming
NAICS,	111335,Tree Nut Farming
NAICS,	111336,Fruit and Tree Nut Combination Farming
NAICS,	111339,Other Noncitrus Fruit Farming
NAICS,	1114,"Greenhouse, Nursery, and Floriculture Production"
NAICS,	11141,Food Crops Grown Under Cover
NAICS,	111411,Mushroom Production
NAICS,	111419,Other Food Crops Grown Under Cover
NAICS,	11142,Nursery and Floriculture Production
NAICS,	111421,Nursery and Tree Production
NAICS,	111422,Floriculture Production
NAICS,	1119,Other Crop Farming
NAICS,	11191,Tobacco Farming
NAICS,	111910,Tobacco Farming
NAICS,	11192,Cotton Farming
NAICS,	111920,Cotton Farming
NAICS,	11193,Sugarcane Farming
NAICS,	111930,Sugarcane Farming
NAICS,	11194,Hay Farming
NAICS,	111940,Hay Farming
NAICS,	11199,All Other Crop Farming
NAICS,	111991,Sugar Beet Farming
NAICS,	111992,Peanut Farming
NAICS,	111998,All Other Miscellaneous Crop Farming
NAICS,	112,Animal Production and Aquaculture
NAICS,	1121,Cattle Ranching and Farming
NAICS,	11211,"Beef Cattle Ranching and Farming, including Feedlots"
NAICS,	112111,Beef Cattle Ranching and Farming
NAICS,	112112,Cattle Feedlots
NAICS,	11212,Dairy Cattle and Milk Production
NAICS,	112120,Dairy Cattle and Milk Production
NAICS,	11213,Dual-Purpose Cattle Ranching and Farming
NAICS,	112130,Dual-Purpose Cattle Ranching and Farming
NAICS,	1122,Hog and Pig Farming
NAICS,	11221,Hog and Pig Farming
NAICS,	112210,Hog and Pig Farming
NAICS,	1123,Poultry and Egg Production
NAICS,	11231,Chicken Egg Production
NAICS,	112310,Chicken Egg Production
NAICS,	11232,Broilers and Other Meat Type Chicken Production
NAICS,	112320,Broilers and Other Meat Type Chicken Production
NAICS,	11233,Turkey Production
NAICS,	112330,Turkey Production
NAICS,	11234,Poultry Hatcheries
NAICS,	112340,Poultry Hatcheries
NAICS,	11239,Other Poultry Production
NAICS,	112390,Other Poultry Production
NAICS,	1124,Sheep and Goat Farming
NAICS,	11241,Sheep Farming
NAICS,	112410,Sheep Farming
NAICS,	11242,Goat Farming
NAICS,	112420,Goat Farming
NAICS,	1125,Aquaculture
NAICS,	11251,Aquaculture
NAICS,	112511,Finfish Farming and Fish Hatcheries
NAICS,	112512,Shellfish Farming
NAICS,	112519,Other Aquaculture
NAICS,	1129,Other Animal Production
NAICS,	11291,Apiculture
NAICS,	112910,Apiculture
NAICS,	11292,Horses and Other Equine Production
NAICS,	112920,Horses and Other Equine Production
NAICS,	11293,Fur-Bearing Animal and Rabbit Production
NAICS,	112930,Fur-Bearing Animal and Rabbit Production
NAICS,	11299,All Other Animal Production
NAICS,	112990,All Other Animal Production
NAICS,	113,Forestry and Logging
NAICS,	1131,Timber Tract Operations
NAICS,	11311,Timber Tract Operations
NAICS,	113110,Timber Tract Operations
NAICS,	1132,Forest Nurseries and Gathering of Forest Products
NAICS,	11321,Forest Nurseries and Gathering of Forest Products
NAICS,	113210,Forest Nurseries and Gathering of Forest Products
NAICS,	1133,Logging
NAICS,	11331,Logging
NAICS,	113310,Logging
