Status,Type,Contract ID,Symbol,Exchange,ExSuffix,Business Name,Suffix,ISIN,CUSIP
Alive,STOCK,1715006,A,NYSE,,AGILENT TECHNOLOGIES INC,,US00846U1016,	00846U101
Alive,STOCK,251962528,AA,NYSE,,ALCOA CORP,,US0138721065,	013872106
Unknown,STOCK,169041192,AAC,NYSE,,AAC HOLDINGS INC,,US0003071083,	000307108
Alive,STOCK,3630029,AAN,NYSE,,AARON'S INC,,US0025353006,	002535300
Alive,STOCK,4027,AAP,NYSE,,ADVANCE AUTO PARTS INC,,US00751Y1064,	00751Y106
Alive,STOCK,82819360,AAT,NYSE,,AMERICAN ASSETS TRUST INC,,US0240131047,	024013104
Unknown,STOCK,61596952,AAV,NYSE,,ADVANTAGE OIL & GAS LTD,,CA00765F1018,
Alive,STOCK,38198926,AB,NYSE,,ALLIANCEBERNSTEIN HOLDING LP,,US01881G1067,	01881G106
Alive,STOCK,11962137,ABB,NYSE,,ABB LTD-SPON ADR,,US0003752047,	000375204
Alive,STOCK,118089500,ABBV,NYSE,,ABBVIE INC,,US00287Y1091,	00287Y109
Alive,STOCK,1714996,ABC,NYSE,,AMERISOURCEBERGEN CORP.,,US03073E1055,	03073E105
Alive,STOCK,137736417,ABEV,NYSE,,AMBEV SA-ADR,,US02319V1035,	02319V103
Alive,STOCK,14680959,ABG,NYSE,,ASBURY AUTOMOTIVE GROUP,,US0434361046,	043436104
Alive,STOCK,4050,ABM,NYSE,,ABM INDUSTRIES INC,,US0009571003,	000957100
Alive,STOCK,29661257,ABR,NYSE,,ARBOR REALTY TRUST INC,,US0389231087,	038923108
Alive,STOCK,121864398,ABR PRA,NYSE,,ARBOR REALTY TRUST INC,,US0389236037,	038923603
Alive,STOCK,127639468,ABR PRB,NYSE,,ARBOR REALTY TRUST INC,,US0389237027,	038923702
Alive,STOCK,145409783,ABR PRC,NYSE,,ARBOR REALTY TRUST CUM REDEEMABLE P,,US0389238017,	038923801
Alive,STOCK,4065,ABT,NYSE,,ABBOTT LABORATORIES .,,US0028241000,	002824100
Unknown,STOCK,611060,ABX,NYSE,,BARRICK GOLD CORP,,CA0679011084,
Alive,STOCK,211726414,AC,NYSE,,ASSOCIATED CAPITAL GROUP - A,,US0455281065,	045528106
Alive,STOCK,336517320,ACA,NYSE,,ARCOSA INC,,US0396531008,	039653100
Alive,STOCK,420446448,ACB,NYSE,,AURORA CANNABIS INC,,CA05156X8843,
Alive,STOCK,30351233,ACC,NYSE,,AMERICAN CAMPUS COMMUNITIES,,US0248351001,	024835100
Alive,STOCK,35442319,ACCO,NYSE,,ACCO BRANDS CORP,,US00081T1088,	00081T108
Alive,STOCK,391638321,ACEL,NYSE,,ACCEL ENTERTAINMENT INC,,US00436Q1067,	00436Q106
Alive,STOCK,753861,ACH,NYSE,,ALUMINUM CORP OF CHINA-ADR,,US0222761092,	022276109
Alive,STOCK,43980401,ACM,NYSE,,AECOM,,US00766T1007,	00766T100
Alive,STOCK,67889930,ACN,NYSE,,ACCENTURE PLC-CL A,,IE00B4BNMY34,
Alive,STOCK,297992417,ACP,NYSE,,ABERDEEN INCOME CREDIT STRAT,,US0030571063,	003057106
Alive,STOCK,106619222,ACRE,NYSE,,ARES COMMERCIAL REAL ESTATE,,US04013V1089,	04013V108
Alive,STOCK,195128476,ACV,NYSE,,ALLIANZGI DIVERSIFIED INCOME,,US01883J1088,	01883J108
Alive,STOCK,4151,ADC,NYSE,,AGREE REALTY CORP,,US0084921008,	008492100
Alive,STOCK,421686551,ADCT,NYSE,,ADC THERAPEUTICS SA,,CH0499880968,
Alive,STOCK,4165,ADM,NYSE,,ARCHER-DANIELS-MIDLAND CO,,US0394831020,	039483102
Alive,STOCK,252066451,ADNT,NYSE,,ADIENT PLC,,IE00BD845X29,
Alive,STOCK,12362013,ADS,NYSE,,ALLIANCE DATA SYSTEMS CORP,,US0185811082,	018581108
Alive,STOCK,250084870,ADSW,NYSE,,ADVANCED DISPOSAL SERVICES I,,US00790X1019,	00790X101
Alive,STOCK,302902498,ADT,NYSE,,ADT INC,,US00090Q1031,	00090Q103
Alive,STOCK,4187,ADX,NYSE,,ADAMS DIVERSIFIED EQUITY,,US0062121043,	006212104
Alive,STOCK,37455374,AEB,NYSE,,AEGON NV PERP CAP SECS FLTG RATE PFD,,NL0000062438,
