 Alerts *******************

NHP | New high | Days, i.e. 52 week high = 365 | NHP:  'New high' ('Days, i.e. 52 week high = 365')
NLP | New low | Days, i.e. 52 week low = 365 | NLP:  'New low' ('Days, i.e. 52 week low = 365')
NHA | New high ask | Shares, minimum ask size | NHA:  'New high ask' ('Shares, minimum ask size')
NLB | New low bid | Shares, minimum bid size | NLB:  'New low bid' ('Shares, minimum bid size')
NHPF | New high (filtered) | Days, i.e. 52 week high = 365 | NHPF:  'New high (filtered)' ('Days, i.e. 52 week high = 365')
NLPF | New low (filtered) | Days, i.e. 52 week low = 365 | NLPF:  'New low (filtered)' ('Days, i.e. 52 week low = 365')
NHAF | New high ask (filtered) | Shares, minimum ask size | NHAF:  'New high ask (filtered)' ('Shares, minimum ask size')
NLBF | New low bid (filtered) | Shares, minimum bid size | NLBF:  'New low bid (filtered)' ('Shares, minimum bid size')
NHBF | New high bid (filtered) | Shares, minimum bid size | NHBF:  'New high bid (filtered)' ('Shares, minimum bid size')
NLAF | New low ask (filtered) | Shares, minimum ask size | NLAF:  'New low ask (filtered)' ('Shares, minimum ask size')
HPRE | Pre-market highs | Days | HPRE:  'Pre-market highs' ('Days')
LPRE | Pre-market lows | Days | LPRE:  'Pre-market lows' ('Days')
HPOST | Post-market highs | Days | HPOST:  'Post-market highs' ('Days')
LPOST | Post-market lows | Days | LPOST:  'Post-market lows' ('Days')
PFL75C | 75% pullback from lows (Close) | Dollars, initial move size | PFL75C:  '75% pullback from lows (Close)' ('Dollars, initial move size')
PFL25C | 25% pullback from lows (Close) | Dollars, initial move size | PFL25C:  '25% pullback from lows (Close)' ('Dollars, initial move size')
PFH75C | 75% pullback from highs (Close) | Dollars, initial move size | PFH75C:  '75% pullback from highs (Close)' ('Dollars, initial move size')
PFH25C | 25% pullback from highs (Close) | Dollars, initial move size | PFH25C:  '25% pullback from highs (Close)' ('Dollars, initial move size')
PFL75O | 75% pullback from lows (Open) | Dollars, initial move size | PFL75O:  '75% pullback from lows (Open)' ('Dollars, initial move size')
PFL25O | 25% pullback from lows (Open) | Dollars, initial move size | PFL25O:  '25% pullback from lows (Open)' ('Dollars, initial move size')
PFH75O | 75% pullback from highs (Open) | Dollars, initial move size | PFH75O:  '75% pullback from highs (Open)' ('Dollars, initial move size')
